M1,M2,P1,P2,F,Total
33.0,71.0,89.0,37.0,95.0,71.0
75.0,72.0,87.0,55.0,85.0,75.0
46.0,70.0,1.0,97.0,4.0,39.0
12.0,52.0,81.0,52.0,20.0,38.0
97.0,2.0,25.0,84.0,86.0,63.0
86.0,89.0,44.0,21.0,71.0,63.0
82.0,74.0,32.0,74.0,4.0,42.0
19.0,78.0,85.0,6.0,67.0,54.0
83.0,4.0,2.0,91.0,73.0,56.0
64.0,66.0,2.0,85.0,15.0,42.0
61.0,64.0,13.0,72.0,64.0,60.0
19.0,45.0,50.0,70.0,39.0,45.0
24.0,5.0,26.0,7.0,5.0,9.0
89.0,56.0,43.0,89.0,24.0,51.0
90.0,33.0,21.0,4.0,87.0,53.0
80.0,14.0,62.0,76.0,90.0,68.0
23.0,35.0,97.0,48.0,81.0,61.0
60.0,68.0,37.0,24.0,20.0,36.0
92.0,63.0,73.0,81.0,37.0,60.0
68.0,46.0,77.0,3.0,23.0,33.0
44.0,73.0,82.0,16.0,33.0,43.0
40.0,6.0,51.0,20.0,79.0,45.0
3.0,45.0,67.0,59.0,23.0,37.0
51.0,73.0,75.0,79.0,3.0,44.0
2.0,47.0,67.0,38.0,91.0,60.0
62.0,5.0,28.0,83.0,65.0,52.0
10.0,12.0,88.0,44.0,35.0,35.0
48.0,4.0,98.0,61.0,86.0,62.0
56.0,98.0,49.0,47.0,20.0,47.0
65.0,39.0,20.0,48.0,84.0,59.0
2.0,54.0,65.0,32.0,23.0,33.0
40.0,41.0,96.0,43.0,69.0,58.0
97.0,43.0,88.0,50.0,24.0,46.0
13.0,95.0,73.0,48.0,3.0,38.0
79.0,69.0,17.0,82.0,55.0,61.0
39.0,36.0,56.0,46.0,74.0,55.0
50.0,64.0,21.0,16.0,63.0,48.0
95.0,17.0,70.0,24.0,37.0,39.0
66.0,44.0,2.0,83.0,18.0,39.0
92.0,1.0,21.0,16.0,20.0,22.0
31.0,43.0,18.0,46.0,61.0,47.0
21.0,20.0,1.0,18.0,4.0,11.0
28.0,26.0,96.0,40.0,47.0,44.0
93.0,82.0,33.0,36.0,67.0,63.0
93.0,46.0,21.0,73.0,27.0,46.0
23.0,52.0,4.0,39.0,34.0,34.0
83.0,30.0,77.0,66.0,4.0,36.0
16.0,33.0,63.0,82.0,12.0,35.0
28.0,37.0,79.0,65.0,32.0,43.0
10.0,60.0,36.0,9.0,18.0,25.0
63.0,51.0,38.0,24.0,17.0,31.0
35.0,96.0,41.0,11.0,65.0,55.0
68.0,31.0,64.0,90.0,63.0,62.0
19.0,32.0,61.0,21.0,12.0,23.0
30.0,7.0,10.0,86.0,22.0,31.0
53.0,15.0,68.0,75.0,48.0,49.0
28.0,27.0,59.0,74.0,68.0,56.0
69.0,15.0,95.0,68.0,1.0,33.0
43.0,92.0,71.0,20.0,23.0,43.0
47.0,72.0,28.0,34.0,4.0,30.0
12.0,82.0,30.0,28.0,33.0,39.0
2.0,74.0,47.0,58.0,89.0,66.0
31.0,67.0,17.0,16.0,73.0,50.0
86.0,86.0,5.0,53.0,78.0,68.0
95.0,34.0,4.0,1.0,56.0,39.0
52.0,36.0,95.0,75.0,5.0,38.0
63.0,46.0,43.0,94.0,5.0,40.0
28.0,66.0,14.0,34.0,76.0,54.0
12.0,8.0,19.0,34.0,21.0,19.0
53.0,52.0,4.0,95.0,67.0,61.0
58.0,33.0,25.0,54.0,92.0,62.0
43.0,84.0,10.0,92.0,50.0,60.0
77.0,14.0,14.0,49.0,68.0,48.0
16.0,49.0,41.0,65.0,25.0,38.0
12.0,29.0,11.0,40.0,22.0,24.0
59.0,95.0,83.0,4.0,38.0,49.0
14.0,88.0,89.0,85.0,42.0,61.0
1.0,51.0,66.0,7.0,67.0,45.0
44.0,19.0,95.0,84.0,37.0,49.0
40.0,96.0,37.0,40.0,39.0,50.0
35.0,54.0,18.0,77.0,22.0,40.0
96.0,80.0,40.0,63.0,42.0,59.0
